"Posição","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"1","IDH","Santo Augusto","0.480","0.627","0.739","",""
"1","IDH","Santo Cristo","0.503","0.642","0.738","",""
"1","IDH","Santo Expedito do Sul","0.379","0.627","0.732","",""
"1","IDH","São Borja","0.540","0.637","0.736","",""
"1","IDH","São Domingos do Sul","0.568","0.690","0.763","",""
"1","IDH","São Francisco de Assis","0.445","0.558","0.675","",""
"1","IDH","São Francisco de Paula","0.464","0.592","0.685","",""
"1","IDH","São Gabriel","0.518","0.624","0.699","",""
"1","IDH","São Jerônimo","0.478","0.609","0.696","",""
"1","IDH","São João da Urtiga","0.428","0.572","0.694","",""
"1","IDH","São João do Polêsine","0.499","0.686","0.748","",""
"1","IDH","São Jorge","0.506","0.629","0.732","",""
"1","IDH","São José das Missões","0.326","0.540","0.651","",""
"1","IDH","São José do Herval","0.407","0.555","0.717","",""
"1","IDH","São José do Hortêncio","0.481","0.624","0.707","",""
"1","IDH","São José do Inhacorá","0.441","0.602","0.747","",""
"1","IDH","São José do Norte","0.360","0.481","0.623","",""
"1","IDH","São José do Ouro","0.489","0.653","0.755","",""
"1","IDH","São José do Sul","0.416","0.576","0.725","",""
"1","IDH","São José dos Ausentes","0.420","0.512","0.663","",""
"1","IDH","São Leopoldo","0.543","0.656","0.739","",""
"1","IDH","São Lourenço do Sul","0.469","0.589","0.687","",""
"1","IDH","São Luiz Gonzaga","0.520","0.634","0.741","",""
"1","IDH","São Marcos","0.555","0.695","0.768","",""
"1","IDH","São Martinho","0.470","0.638","0.726","",""
"1","IDH","São Martinho da Serra","0.369","0.541","0.652","",""
"1","IDH","São Miguel das Missões","0.403","0.570","0.667","",""
"1","IDH","São Nicolau","0.393","0.517","0.645","",""
"1","IDH","São Paulo das Missões","0.441","0.567","0.692","",""
"1","IDH","São Pedro da Serra","0.546","0.639","0.739","",""
"1","IDH","São Pedro das Missões","0.398","0.471","0.664","",""
"1","IDH","São Pedro do Butiá","0.553","0.666","0.763","",""
"1","IDH","São Pedro do Sul","0.476","0.614","0.709","",""
"1","IDH","São Sebastião do Caí","0.552","0.662","0.739","",""
"1","IDH","São Sepé","0.506","0.614","0.708","",""
"1","IDH","São Valentim","0.458","0.544","0.720","",""
"1","IDH","São Valentim do Sul","0.502","0.671","0.764","",""
"1","IDH","São Valério do Sul","0.431","0.532","0.642","",""
"1","IDH","São Vendelino","0.509","0.655","0.754","",""
"1","IDH","São Vicente do Sul","0.488","0.589","0.685","",""
"1","IDH","Sapiranga","0.463","0.597","0.711","",""
"1","IDH","Sapucaia do Sul","0.513","0.633","0.726","",""
"1","IDH","Sarandi","0.535","0.677","0.777","",""
"1","IDH","Seberi","0.406","0.597","0.723","",""
"1","IDH","Sede Nova","0.451","0.571","0.712","",""
"1","IDH","Segredo","0.394","0.530","0.659","",""
"1","IDH","Selbach","0.570","0.741","0.777","",""
"1","IDH","Senador Salgado Filho","0.393","0.590","0.693","",""
"1","IDH","Sentinela do Sul","0.375","0.560","0.671","",""
"1","IDH","Serafina Corrêa","0.561","0.678","0.760","",""
"1","IDH","Sério","0.367","0.522","0.652","",""
"1","IDH","Sertão","0.495","0.684","0.751","",""
"1","IDH","Sertão Santana","0.409","0.577","0.689","",""
"1","IDH","Sete de Setembro","0.389","0.532","0.683","",""
"1","IDH","Severiano de Almeida","0.451","0.633","0.752","",""
"1","IDH","Silveira Martins","0.502","0.652","0.742","",""
"1","IDH","Sinimbu","0.374","0.513","0.631","",""
"1","IDH","Sobradinho","0.538","0.650","0.743","",""
"1","IDH","Soledade","0.522","0.633","0.731","",""
"1","IDH","Tabaí","0.379","0.602","0.701","",""
"1","IDH","Tapejara","0.490","0.660","0.760","",""
"1","IDH","Tapera","0.553","0.660","0.747","",""
"1","IDH","Tapes","0.498","0.619","0.695","",""
"1","IDH","Taquara","0.537","0.651","0.727","",""
"1","IDH","Taquari","0.498","0.641","0.733","",""
"1","IDH","Taquaruçu do Sul","0.435","0.588","0.739","",""
"1","IDH","Tavares","0.426","0.543","0.656","",""
"1","IDH","Tenente Portela","0.480","0.607","0.708","",""
"1","IDH","Terra de Areia","0.487","0.611","0.689","",""
"1","IDH","Teutônia","0.535","0.664","0.747","",""
"1","IDH","Tio Hugo","0.428","0.595","0.742","",""
"1","IDH","Tiradentes do Sul","0.392","0.551","0.689","",""
"1","IDH","Toropi","0.368","0.520","0.683","",""
"1","IDH","Torres","0.538","0.681","0.762","",""
"1","IDH","Tramandaí","0.504","0.633","0.719","",""
"1","IDH","Travesseiro","0.440","0.569","0.701","",""
"1","IDH","Três Arroios","0.482","0.637","0.791","",""
"1","IDH","Três Cachoeiras","0.509","0.638","0.718","",""
"1","IDH","Três Coroas","0.478","0.610","0.710","",""
"1","IDH","Três de Maio","0.533","0.655","0.759","",""
"1","IDH","Três Forquilhas","0.378","0.541","0.662","",""
"1","IDH","Três Palmeiras","0.388","0.594","0.703","",""
