"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Unidade","Multiplicador"
"1.1","Série revisada","Erebango",,,,,,,,,,,,"46476","63128","55489","75753","79944.17","86332.13","106591.85","96569.91","110450.72","123425.69","R$",1000
"1.1","Série revisada","Erval Grande",,,,,,,,,,,,"52431","65604","56508","66455","90010.00","84180.69","91136.50","89904.07","94205.02","109455.16","R$",1000
"1.1","Série revisada","Erechim",,,,,,,,,,,,"2397415","2838443","3203060","4067166","4096603.26","4262267.16","4399222.03","4456711.51","4960046.31","5303198.50","R$",1000
"1.1","Série revisada","Erval Seco",,,,,,,,,,,,"103634","128219","125748","194012","194144.77","213769.03","246361.30","238458.68","231931.88","229065.92","R$",1000
"1.1","Série revisada","Dona Francisca",,,,,,,,,,,,"36876","44330","50315","60857","66061.95","66208.52","67236.97","72197.92","75248.41","76373.93","R$",1000
"1.1","Série revisada","Encantado",,,,,,,,,,,,"438226","467410","540280","611211","678899.16","737390.39","795467.91","830217.03","888887.63","951619.08","R$",1000
"1.1","Série revisada","Entre Rios do Sul",,,,,,,,,,,,"308157","323010","272617","258026","110536.92","153901.23","195298.81","196638.00","193303.26","222559.22","R$",1000
"1.1","Série revisada","Herval",,,,,,,,,,,,"57418","57523","68424","85036","99022.24","101252.21","118810.57","137326.60","133993.11","140018.25","R$",1000
"1.1","Série revisada","Agudo",,,,,,,,,,,,"245071","283365","302031","355290","430513.28","428992.24","441246.26","495478.73","500622.80","536911.80","R$",1000
"1.1","Série revisada","Estação",,,,,,,,,,,,"106867","133311","151457","188134","203509.61","216547.30","255386.64","330675.12","359508.60","284537.39","R$",1000
"1.1","Série revisada","Estrela Velha",,,,,,,,,,,,"64587","77393","77851","118238","123123.13","106074.00","116771.59","128824.43","127024.57","133777.57","R$",1000
"1.1","Série revisada","Esmeralda",,,,,,,,,,,,"93011","97074","94582","132229","151843.15","165483.95","203357.70","180514.95","215551.57","212061.79","R$",1000
"1.1","Série revisada","Estância Velha",,,,,,,,,,,,"890155","954580","1002388","1150481","1299312.53","1337683.69","1325100.69","1334293.13","1467031.24","1543388.35","R$",1000
"1.1","Série revisada","Esperança do Sul",,,,,,,,,,,,"35742","42757","43417","57533","57883.07","60311.02","68321.75","67536.08","71729.41","82389.52","R$",1000
"1.1","Série revisada","Esteio",,,,,,,,,,,,"2096486","2211748","2446932","2715260","2930039.97","3115215.45","3373535.95","3001353.94","3186024.40","3436739.01","R$",1000
